timestamp,direction,speed
2022-07-29,225,1.352
2022-07-29,45,0.392
2022-07-29,45,1.447
2022-07-29,45,3.645
2022-07-29,45,0.615
2022-07-29,45,1.297
2022-07-29,45,2.064
2022-07-29,45,0.914
2022-07-29,45,0.779
2022-07-29,45,0.867
2022-07-29,45,0.658
2022-07-29,45,1.333
2022-07-29,45,1.958
2022-07-29,45,0.852
2022-07-29,45,2.04
2022-07-29,45,2.423
2022-07-29,45,0.924
2022-07-29,45,1.921
2022-07-29,45,1.474
2022-07-29,45,3.046
2022-07-29,45,3.188
2022-07-29,45,3.267
2022-07-29,45,2.911
2022-07-29,45,2.734
2022-07-29,45,0.675
2022-07-29,45,0.995
2022-07-29,315,0.751
2022-07-29,315,0.914
2022-07-29,225,0.728
2022-07-29,270,1.46
2022-07-29,225,1.183
2022-07-29,315,2.385
2022-07-29,225,1.521
2022-07-29,315,2.115
2022-07-29,45,2.7
2022-07-29,315,2.187
2022-07-29,315,1.421
2022-07-29,315,1.928
2022-07-29,315,2.182
2022-07-29,315,0.791
2022-07-29,315,0.587
2022-07-29,315,0.624
2022-07-29,0,0.162
2022-07-29,225,0.355
2022-07-29,0,0.19
2022-07-29,225,0.369
2022-07-29,225,0.264
2022-07-29,225,0.502
2022-07-29,0,0.318
2022-07-29,0,0.719
2022-07-29,0,0.378
2022-07-29,0,0.386
2022-07-29,0,0.362
2022-07-29,0,0.192
2022-07-29,225,0.624
2022-07-29,0,0.167
2022-07-29,225,0.384
2022-07-29,0,0.148
2022-07-29,45,0.922
2022-07-29,45,1.604
2022-07-29,45,1.438
2022-07-29,45,1.411
2022-07-29,45,1.541
2022-07-29,45,2.132
2022-07-29,225,0.862
2022-07-29,45,1.888
2022-07-29,45,3.499
2022-07-29,45,4.476
2022-07-29,45,2.583
2022-07-29,45,2.22
2022-07-29,45,3.927
2022-07-29,45,1.174
2022-07-29,45,0.873
2022-07-29,45,0.656
2022-07-29,0,0.509
2022-07-29,225,0.565
2022-07-29,225,0.25
2022-07-29,225,0.422
2022-07-29,45,0.842
2022-07-29,225,1.523
2022-07-29,225,0.44
2022-07-29,45,0.388
2022-07-29,225,0.434
2022-07-29,225,0.251
2022-07-29,225,0.268
2022-07-29,225,1.562
2022-07-29,225,0.148
2022-07-29,225,0.129
2022-07-29,225,0.787
2022-07-29,225,0.22
2022-07-29,135,2.504
2022-07-29,135,2.58
2022-07-29,135,1.969
2022-07-29,135,1.902
2022-07-29,135,1.5
2022-07-29,135,2.028
2022-07-29,135,3.536
2022-07-29,135,5.914
2022-07-29,90,9.167
2022-07-29,135,5.954
2022-07-29,90,2.557
2022-07-29,90,1.759
2022-07-29,90,3.55
2022-07-29,135,4.307
2022-07-29,135,2.333
2022-07-29,135,1.644
2022-07-29,0,0.015
2022-07-29,0,0.118
2022-07-29,0,0.313
2022-07-29,0,0.881
2022-07-29,0,0.929
2022-07-29,0,0.382
2022-07-29,0,0.242
2022-07-29,0,1.313
2022-07-29,0,1.939
2022-07-29,0,0.39
2022-07-29,0,0.606
2022-07-29,0,0.81
2022-07-29,0,0.501
2022-07-29,0,0.262
2022-07-29,180,0.276
2022-07-29,180,0.302
2022-07-29,90,0.358
2022-07-29,90,1.855
2022-07-29,90,1.039
2022-07-29,90,0.806
2022-07-29,90,0.991
2022-07-29,90,1.516
2022-07-29,90,1.821
2022-07-29,90,0.386
2022-07-29,270,2.536
2022-07-29,270,0.989
2022-07-29,270,2.266
2022-07-29,90,2.947
2022-07-29,270,1.934
2022-07-29,270,1.732
2022-07-29,90,1.383
2022-07-29,90,1.125
2022-07-29,135,2.191
2022-07-29,135,2.107
2022-07-29,135,2.477
2022-07-29,135,2.04
2022-07-29,135,5.848
2022-07-29,135,1.51
2022-07-29,135,2.657
2022-07-29,135,1.609
2022-07-29,135,7.057
2022-07-29,135,0.907
2022-07-29,135,5.284
2022-07-29,135,4
2022-07-29,135,2.43
2022-07-29,135,3.258
2022-07-29,135,1.852
2022-07-29,135,1.804
2022-07-29,90,0.165
2022-07-29,90,0.965
2022-07-29,270,0.794
2022-07-29,90,0.856
2022-07-29,90,0.972
2022-07-29,90,0.816
2022-07-29,90,0.905
2022-07-29,90,0.445
2022-07-29,90,0.758
2022-07-29,270,1.715
2022-07-29,90,2.526
2022-07-29,270,0.739
2022-07-29,270,1.712
2022-07-29,90,1.344
2022-07-29,90,0.743
2022-07-29,90,0.686
2022-07-29,270,0.285
2022-07-29,90,0.816
2022-07-29,0,0.242
2022-07-29,270,0.288
2022-07-29,270,1.718
2022-07-29,90,1.782
2022-07-29,270,0.998
2022-07-29,90,0.321
2022-07-29,90,2.373
2022-07-29,90,3.226
2022-07-29,90,2.407
2022-07-29,90,1.118
2022-07-29,90,4.745
2022-07-29,90,0.906
2022-07-29,270,0.959
2022-07-29,270,0.288
2022-07-29,0,0.148
2022-07-29,0,0.126
2022-07-29,0,0.131
2022-07-29,0,0.516
2022-07-29,0,0.407
2022-07-29,0,0.134
2022-07-29,0,0.156
2022-07-29,0,0.096
2022-07-29,0,0.128
2022-07-29,0,0.154
2022-07-29,0,0.538
2022-07-29,0,0.655
2022-07-29,0,0.532
2022-07-29,180,0.418
2022-07-29,0,0.189
2022-07-29,180,0.358
2022-07-30,45,0.242
2022-07-30,45,0.215
2022-07-30,45,1.316
2022-07-30,45,0.674
2022-07-30,45,1.753
2022-07-30,45,0.593
2022-07-30,45,0.555
2022-07-30,45,0.579
2022-07-30,45,0.233
2022-07-30,225,1.094
2022-07-30,45,0.989
2022-07-30,45,0.665
2022-07-30,45,0.48
2022-07-30,225,0.221
2022-07-30,225,0.684
2022-07-30,225,0.983
2022-07-30,45,1.165
2022-07-30,45,1.197
2022-07-30,45,0.91
2022-07-30,45,1.494
2022-07-30,45,2.354
2022-07-30,45,0.938
2022-07-30,45,0.821
2022-07-30,45,0.73
2022-07-30,45,0.335
2022-07-30,225,0.402
2022-07-30,45,0.537
2022-07-30,45,0.881
2022-07-30,45,0.503
2022-07-30,225,0.823
2022-07-30,225,0.236
2022-07-30,45,0.843
2022-07-30,0,0.25
2022-07-30,225,0.368
2022-07-30,0,1.084
2022-07-30,225,0.928
2022-07-30,225,1.028
2022-07-30,225,0.509
2022-07-30,45,1.802
2022-07-30,135,0.45
2022-07-30,135,2.073
2022-07-30,135,1.535
2022-07-30,315,0.977
2022-07-30,315,0.969
2022-07-30,45,0.494
2022-07-30,45,0.658
2022-07-30,315,0.549
2022-07-30,315,0.707
2022-07-30,225,0.142
2022-07-30,225,0.176
2022-07-30,225,0.226
2022-07-30,225,0.271
2022-07-30,225,0.108
2022-07-30,225,0.541
2022-07-30,225,0.256
2022-07-30,225,0.534
2022-07-30,0,0.883
2022-07-30,0,1.257
2022-07-30,0,0.979
2022-07-30,0,0.611
2022-07-30,0,0.765
2022-07-30,0,0.824
2022-07-30,0,0.273
2022-07-30,0,0.313
2022-07-30,45,0.784
2022-07-30,45,1.563
2022-07-30,45,0.662
2022-07-30,45,1.81
2022-07-30,45,2.128
2022-07-30,45,0.325
2022-07-30,45,1.264
2022-07-30,45,0.993
2022-07-30,45,2.44
2022-07-30,45,1.507
2022-07-30,45,1.873
2022-07-30,45,0.985
2022-07-30,45,1.091
2022-07-30,45,1.32
2022-07-30,45,0.531
2022-07-30,45,0.239
2022-07-30,180,0.281
2022-07-30,0,0.219
2022-07-30,180,0.63
2022-07-30,0,0.591
2022-07-30,0,0.468
2022-07-30,225,0.792
2022-07-30,225,0.685
2022-07-30,225,0.524
2022-07-30,0,1.59
2022-07-30,180,3.2
2022-07-30,180,0.515
2022-07-30,180,0.524
2022-07-30,180,2.663
2022-07-30,180,0.53
2022-07-30,180,0.547
2022-07-30,180,0.526
2022-07-30,135,2.063
2022-07-30,135,0.879
2022-07-30,135,1.62
2022-07-30,135,2.62
2022-07-30,135,0.47
2022-07-30,45,4.842
2022-07-30,45,0.632
2022-07-30,45,3.884
2022-07-30,45,5.028
2022-07-30,45,3.598
2022-07-30,45,4.476
2022-07-30,45,4.227
2022-07-30,45,5.483
2022-07-30,45,5.457
2022-07-30,45,1.801
2022-07-30,45,1.267
2022-07-30,0,7
2022-07-30,0,0.605
2022-07-30,0,0.136
2022-07-30,180,0.486
